Time (s),Sub1 RPE,Sub2 RPE,Sub3 RPE,Sub4 RPE,Sub5 RPE,Sub6 RPE,Sub7 RPE,Sub8 RPE,Sub9 RPE,Sub10 RPE,Sub11 RPE,Sub12 RPE,Sub13 RPE,Sub14 RPE,Sub15 RPE
0,9,7,11,11,7,11,11,9,11,11,7,6,7,8,9
600,10,7,12,12,11,11,12,9,12,11,7,6,7,9,10
1200,11,8,12,12,12,11,13,9,12,12,7,6,8,10,11
1800,11,8,12,12,13,11,13,10,12,13,8,7,8,10,11
2400,11,8,12,13,13,11,14,10,13,14,8,7,9,11,12
3000,11,9,12,13,14,11,14,11,13,14,8,7,10,13,14
3600,11,9,13,13,14,11,14,11,14,14,8,8,11,13,13
4200,11,10,13,14,15,11,14,12,14,14,9,8,12,13,13
4800,12,11,13,14,15,11,14,12,14,15,9,9,12,13,13
5400,12,13,13,14,15,11,15,12,15,15,10,9,12,14,13
6000,13,14,13,14,16,11,19,13,14,15,10,10,13,14,13
6600,14,14,14,15,17,12,,13,14,15,10,10,12,15,13
7200,14,15,14,14,19,12,,13,15,15,11,11,12,15,13
7800,14,15,14,14,,13,,14,15,16,11,12,13,15,13
8400,14,15,15,13,,13,,14,14,16,12,13,13,15,13
9000,14,15,14,15,,13,,14,13,16,11,13,13,16,14
9600,14,15,15,14,,13,,14,14,16,12,14,13,16,14
10200,14,15,15,14,,13,,14,14,16,13,16,13,16,15
