task number,Enters,Leaves
1,,30
2,112,139
3,199,228
4,287,327
5,385,447
6,506,557
7,618,660
8,722,756
9,816,843
10,904,945
11,1004,1040
12,1104,1152
13,1219,1261
14,1323,1373
15,1435,1466
16,1531,1562
17,1621,1664
18,1727,1764
19,1825,1952
20,2012,2041
21,2100,2130
22,2190,2221
23,2286,2312
24,2375,2404
25,2468,2506
26,2571,2610
27,2676,2716
28,2784,2812
29,2875,2916
30,2981,3015
31,3081,3124
32,3194,3218
33,3289,3325
34,3393,3432
35,3514,3546
36,3628,3671
37,3739,3840
38,3904,3935
39,4004,4027
40,4092,4115
41,4181,4207
42,4274,4380
43,4444,4503
44,4569,4609
45,4677,4701
46,4767,4802
47,4869,4902
48,4969,4992
49,5068,5106
50,5174,5200
51,5264,5300
52,5370,5395
53,5463,5489
54,5558,5582
55,5658,5699
56,5766,5788
57,5856,5885
58,5954,5987
59,6056,6086
60,6155,6200
61,6271,6304
62,6407,6434
63,6505,6535
64,6604,6637
65,6705,6754
66,6819,6853
67,6930,6967
68,7041,7081
69,7153,7194
70,7275,7307
71,7389,7500
72,7574,7615
73,7687,7754
74,7830,7866
75,7937,7971
76,8041,8079
77,8161,8208
78,8284,8330
79,8403,8433
80,8505,8541
81,8613,8648
82,8719,8743
83,8818,8872
84,8944,8993
85,9064,9095
86,9166,9197
87,9270,9314
88,9385,9427
89,9498,9539
90,9606,9643
91,9723,9734
92,9797,9825
93,9891,9919
94,9986,10013
95,10081,10116
96,10179,10203
97,10268,10303
98,10366,10395
99,10458,10486
100,10547,10581
101,10646,10669
102,10734,10762
103,10830,10858
104,10926,
